ID,Area,User Story,Expected Behavior (as implemented),Status,Defects,Defect Type,Evidence,Source References,Open Questions / Notes
AUTH-ROUTE-01,Auth & Admin,As a staff user I want to log in with email+password so I can reach the internal app,Login.tsx form calls useAuth.signIn -> supabase.auth.signInWithPassword on the internal client; useAuth loads the user_profiles row and exposes profile/capabilities; a missing or inactive profile keeps the user out of protected routes; on success Login.tsx navigates to /painel itself (an already-authenticated visitor is redirected by a Navigate guard); errors shown inline.,Verified (static),-,-,Static,src/pages/Login.tsx; src/hooks/useAuth.tsx; src/services/supabase.ts,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
AUTH-ROUTE-02,Auth & Admin,As an admin I want /admin/usuarios to manage staff roles and activation so access stays controlled,"Route mounted under ProtectedRoute adminOnly; AdminUsuarios.tsx lists user_profiles, toggles role/active via src/services/adminUsers.ts, and shows audit-log and metrics tabs with dedicated loading/error states; mutations invalidate users/audit/metrics queries.",Verified,-,-,Vitest: AdminUsuarios.behavior.test.tsx; adminObservability.test.ts,src/App.tsx; src/pages/AdminUsuarios.tsx; src/services/adminUsers.ts,-
AUTH-ACT-01,Auth & Admin,As an admin I want role/active changes to be audited so admin actions are traceable,adminUsers.ts updates user_profiles and writes audit_logs rows with changed_by=auth.uid(); observability queries aggregate audit logs and login metrics for the admin screen.,Verified,-,-,Vitest: adminObservability.test.ts,src/services/adminUsers.ts,-
AUTH-ACC-01,Auth & Admin,As the platform I want two isolated browser sessions so staff and portal logins never collide,src/services/supabase.ts creates two clients: supabase (staff) and supabasePortal with its own storageKey ('td-portal-auth') and detectSessionInUrl:false; the sessions coexist and logging out of one does not drop the other.,Verified (static),-,-,Static,src/services/supabase.ts; src/services/supabaseAuth.ts,supabaseAuth.test.ts only exercises signOut; the storageKey/detectSessionInUrl isolation is verified statically.
AUTH-ACC-02,Auth & Admin,As the platform I want route guards to shape navigation while RLS/RPC enforce authorization,"ProtectedRoute (staff), ProtectedRoute adminOnly (admin screens) and PortalProtectedRoute (portal) gate navigation in src/App.tsx; per ADR 0004 these are UX barriers only — authorization is enforced by RLS policies, grants and RPC guards in Postgres.",Verified,-,-,Vitest: AppLayout.test.ts; lazyPage.test.ts,src/App.tsx; docs/adr/0004,-
AUTH-ACC-03,Auth & Admin,As the platform I want user_profiles protected so users cannot alter their own privileges,RLS (010_rls_by_role.sql + later fixes): self/admin SELECT; a user updates only their own row and only while active; INSERT/DELETE admin-only. Helpers is_active_user()/is_admin()/current_user_role() underpin all role-based policies.,Verified (static),-,-,Static,supabase/migrations/010_rls_by_role.sql; supabase/migrations/077_fix_user_profile_privilege_escalation.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
AUTH-TRG-01,Auth & Admin,As the platform I want a trigger to block privilege self-escalation even through direct table writes,prevent_user_profile_privilege_escalation() BEFORE UPDATE on user_profiles rejects a user changing their own role or active flag; service_role remains allowed for provisioning.,Verified (static),-,-,Static,supabase/migrations/077_fix_user_profile_privilege_escalation.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
AUTH-ACC-04,Auth & Admin,As the platform I want anon default-deny on SECURITY DEFINER functions with a single documented exception,ADR 0011 default-deny: migrations revoke EXECUTE from PUBLIC/anon on all public SECURITY DEFINER functions; 150_revoke_anon_portal_read_rpcs.sql removes the anon grants that six portal read RPCs had regained; 152_revoke_anon_definer_drift.sql re-runs the comprehensive revoke carving out only portal_resolve_login(text) (ADR 0013); 151_guard_definer_rpcs_active_user.sql adds is_active_user() guards to definer readers that lacked them.,Verified,-,-,SQL-contract: revokeAnonDefinerDriftMigration.test.ts; definerActiveUserGuardMigration.test.ts,supabase/migrations/150_revoke_anon_portal_read_rpcs.sql; supabase/migrations/151_guard_definer_rpcs_active_user.sql; supabase/migrations/152_revoke_anon_definer_drift.sql,-
OPS-ROUTE-01,Operação & Suporte,As an operator I want /painel to show KPIs and the Line-Up snapshot so I see the operation at a glance,Painel.tsx queries bls/containers/voyages/invoices and composes KPI cards plus the Line-Up snapshot from src/services/lineup.ts; caches ['dashboard'] and ['lineup-tv-v3']; distinct-container counting is done client-side by the containerCounts helper.,Verified,-,-,Vitest: Painel.behavior.test.tsx; containerCounts.test.ts; lineupSort.test.ts,src/pages/Painel.tsx; src/services/lineup.ts; src/lib/containerCounts.ts,count_distinct_containers RPC (045) exists in DB/types but no frontend caller was found — confirm whether it is intentionally orphaned.
OPS-ROUTE-02,Operação & Suporte,"As an operator I want /alertas to filter, acknowledge and close internal alerts","Alertas.tsx via useOperationalAlerts/src/services/alerts.ts reads the alerts table, transitions status (open -> acknowledged -> closed) and invalidates alerts, op-count and dashboard caches.",Verified,-,-,Vitest: Alertas.behavior.test.tsx; alertsTransitions.test.ts,src/pages/Alertas.tsx; src/services/alerts.ts; src/hooks/useOperationalAlerts.ts,-
